회계년도,회사명,거래소코드,정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),부채비율(IFRS연결),매출액정상영업이익률(IFRS연결),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS)
2013/12,(주)MH에탄올,23150,-44.79,1640.29,1022.0,182.66,4.84,0.0,0.0,0.62,0.41,5.15,3.44
2014/12,(주)MH에탄올,23150,190.55,0.0,-26.0,62.03,17.85,17.89,4.54,1.63,0.41,16.12,4.09
2015/12,(주)MH에탄올,23150,26.84,0.0,1063.0,36.47,22.01,16.01,6.76,2.24,0.95,9.28,3.92
2016/12,(주)MH에탄올,23150,7.05,4.71,1129.0,13.77,24.28,7.94,5.99,1.06,0.8,5.28,3.98
2017/12,(주)MH에탄올,23150,-31.65,-17.16,942.0,368.17,15.62,10.39,7.36,0.99,0.7,5.7,4.04
2018/12,(주)MH에탄올,23150,-84.87,-108.83,-87.0,380.62,1.69,7.8,5.07,0.78,0.51,7.67,4.98
2019/12,(주)MH에탄올,23150,537.44,0.0,-79.0,468.69,9.68,0.0,0.0,0.91,0.71,8.03,6.25
2020/12,(주)MH에탄올,23150,101.58,0.0,1049.0,459.13,16.67,87.73,37.65,1.85,0.79,13.28,5.7
2021/12,(주)MH에탄올,23150,47.86,-13.4,908.0,432.99,22.86,29.13,11.35,2.62,1.02,70.86,27.62
2022/12,(주)MH에탄올,23150,-6.04,-15.66,766.0,369.03,19.8,17.72,9.28,1.68,0.88,0.0,0.0
2003/06,(주)SH에너지화학,2360,,,,,,,,,,,
2004/06,(주)SH에너지화학,2360,,,,,,,,,,,
2005/06,(주)SH에너지화학,2360,,,,,,,,,,,
2007/12,(주)SH에너지화학,2360,0.0,0.0,256.0,87.68,1.46,44.81,16.66,1.93,0.72,90.62,33.68
2008/12,(주)SH에너지화학,2360,0.0,0.0,-104.0,81.23,-5.69,0.0,0.0,15.04,0.56,155.52,5.78
2009/12,(주)SH에너지화학,2360,0.0,0.0,41.0,43.21,4.21,21.02,8.78,1.37,0.57,18.83,7.87
2010/12,(주)SH에너지화학,2360,0.0,0.0,-58.6,55.41,-4.51,0.0,0.0,1.13,0.68,112.84,67.89
2011/12,(주)SH에너지화학,2360,0.0,0.0,18.6,60.5,2.41,14.66,8.42,0.73,0.42,6.63,3.81
2012/12,(주)SH에너지화학,2360,-47.6,-81.28,3.5,59.82,1.13,162.25,31.83,2.74,0.54,481.86,94.54
2013/12,(주)SH에너지화학,2360,194.26,1146.78,43.5,58.75,2.77,32.02,16.07,2.32,1.16,20.67,10.37
2014/12,(주)SH에너지화학,2360,231.12,238.32,147.2,31.46,9.21,15.13,5.05,3.07,1.02,9.73,3.25
2015/12,(주)SH에너지화학,2360,7.89,-22.92,113.4,26.05,10.6,22.07,10.6,3.3,1.59,11.36,5.45
2016/12,(주)SH에너지화학,2360,5.02,42.44,161.6,19.6,11.04,13.72,7.21,2.52,1.32,20.82,10.94
2017/12,(주)SH에너지화학,2360,-41.16,-46.61,86.3,16.36,7.54,22.84,16.66,2.03,1.48,12.48,9.11
2018/12,(주)SH에너지화학,2360,-85.19,-75.89,20.8,16.17,1.14,74.92,32.62,2.06,0.9,48.38,21.06
2019/12,(주)SH에너지화학,2360,-249.05,-223.7,-25.8,24.66,-2.22,0.0,0.0,1.75,1.02,11.61,6.75
2020/12,(주)SH에너지화학,2360,0.0,0.0,-61.9,30.38,-8.39,0.0,0.0,2.17,0.62,51.03,14.66
2021/12,(주)SH에너지화학,2360,0.0,0.0,5.7,30.4,0.25,213.18,122.6,1.79,1.03,0.0,0.0
2022/12,(주)SH에너지화학,2360,134.88,196.29,16.8,31.94,0.48,160.64,74.09,2.17,1.0,0.0,0.0
2007/12,(주)SIMPAC,9160,0.0,0.0,519.0,82.7,10.57,9.42,3.78,1.72,0.69,9.84,3.94
2008/12,(주)SIMPAC,9160,-23.8,108.08,1024.0,79.16,6.77,7.19,1.53,2.03,0.43,37.16,7.91
2009/12,(주)SIMPAC,9160,0.0,0.0,555.0,69.88,9.55,7.99,4.54,1.07,0.61,8.5,4.83
2010/12,(주)SIMPAC,9160,83.91,49.82,768.0,85.41,11.85,10.14,5.1,1.14,0.57,6.43,3.23
2011/12,(주)SIMPAC,9160,26.96,21.75,925.0,84.02,12.7,11.05,5.59,1.54,0.78,12.88,6.52
2012/12,(주)SIMPAC,9160,-7.88,-22.78,714.0,69.63,11.18,10.55,5.98,1.37,0.77,18.3,10.37
2013/12,(주)SIMPAC,9160,-6.32,3.93,742.0,73.34,11.47,11.59,7.92,1.14,0.78,19.0,12.99
2014/12,(주)SIMPAC,9160,-26.52,-28.56,530.0,74.3,6.59,21.72,14.17,1.11,0.72,7.64,4.98
2015/12,(주)SIMPAC,9160,22.48,14.79,608.0,82.25,7.88,11.96,6.98,1.08,0.63,22.18,12.95
2016/12,(주)SIMPAC,9160,10.95,-1.54,603.0,73.81,8.82,10.51,7.61,0.77,0.56,5.67,4.1
2017/12,(주)SIMPAC,9160,-50.36,-20.32,509.0,58.27,5.07,21.2,16.19,0.68,0.52,0.0,0.0
2018/12,(주)SIMPAC,9160,-12.89,436.6,1678.0,56.71,3.33,2.44,0.93,0.38,0.14,4.19,1.6
2019/12,(주)SIMPAC,9160,9.33,-86.29,157.0,53.93,2.59,23.11,13.08,0.64,0.36,5.89,3.33
2020/12,(주)SIMPAC,9160,-30.1,259.84,586.0,58.9,2.13,7.45,4.14,0.46,0.25,451.62,251.07
2021/12,(주)SIMPAC,9160,1266.33,166.06,1621.0,65.23,17.36,9.89,2.45,1.36,0.34,14.08,3.49
2022/12,(주)SIMPAC,9160,11.79,-16.18,1381.0,60.93,17.69,12.87,6.07,1.21,0.57,26.7,12.6
2008/12,(주)SNT에너지,100840,,,,,,,,,,,
2009/12,(주)SNT에너지,100840,0.0,0.0,5273.0,72.09,24.09,7.7,2.42,1.64,0.51,7.9,2.48
2010/12,(주)SNT에너지,100840,-90.64,-90.96,485.0,51.69,1.93,90.41,36.08,1.81,0.72,0.0,0.0
2011/12,(주)SNT에너지,100840,0.0,0.0,-648.0,72.18,-3.38,0.0,0.0,0.99,0.54,0.0,0.0
2012/12,(주)SNT에너지,100840,0.0,0.0,1298.0,59.73,6.56,19.06,11.03,0.97,0.56,6.5,3.76
2013/12,(주)SNT에너지,100840,11.05,78.15,2285.0,57.28,8.37,9.04,6.39,0.76,0.54,7.27,5.14
2014/12,(주)SNT에너지,100840,-18.01,-30.42,1590.0,46.6,5.68,11.57,9.28,0.65,0.52,0.0,0.0
2015/12,(주)SNT에너지,100840,146.18,139.96,3815.0,36.64,13.04,8.58,3.96,1.03,0.48,105.23,48.52
2016/12,(주)SNT에너지,100840,-96.48,-93.86,234.0,51.45,0.47,126.99,71.71,0.93,0.52,6.02,3.4
2017/12,(주)SNT에너지,100840,1506.66,176.05,647.0,28.42,10.43,32.32,20.87,0.64,0.41,0.0,0.0
2018/12,(주)SNT에너지,100840,0.0,-60.16,257.0,21.5,-1.36,68.56,41.57,0.55,0.33,8.67,5.26
2019/12,(주)SNT에너지,100840,0.0,0.0,2148.0,36.31,8.19,10.43,5.41,0.64,0.33,0.0,0.0
2020/12,(주)SNT에너지,100840,32.35,-36.66,1414.0,42.24,9.74,15.88,8.18,0.64,0.33,2.25,1.16
2021/12,(주)SNT에너지,100840,0.0,0.0,1957.0,35.65,7.76,16.42,8.76,0.88,0.47,7.6,4.05
2022/12,(주)SNT에너지,100840,-73.18,20.76,2292.0,68.25,1.76,31.13,16.14,0.84,0.44,10.48,5.43
2007/12,(주)SNT홀딩스,36530,0.0,0.0,1603.0,106.4,6.58,40.81,13.43,3.25,1.07,0.0,0.0
2008/12,(주)SNT홀딩스,36530,-21.89,24.31,1946.0,72.68,5.87,18.43,1.93,1.06,0.11,34.65,3.62
2009/12,(주)SNT홀딩스,36530,59.24,-14.76,1659.0,78.78,8.67,14.95,4.55,0.71,0.22,88.59,26.95
2010/12,(주)SNT홀딩스,36530,18.46,60.29,1833.0,59.55,8.05,59.67,35.93,0.73,0.44,287.9,173.36
2011/12,(주)SNT홀딩스,36530,-0.27,13.66,2132.0,62.08,7.24,42.06,25.88,0.64,0.39,25.93,15.96
2012/12,(주)SNT홀딩스,36530,-28.89,-14.76,1870.0,57.43,5.14,23.68,14.51,0.56,0.34,24.61,15.08
2013/12,(주)SNT홀딩스,36530,-1.04,-16.31,1542.0,56.38,5.38,37.69,17.76,0.77,0.36,37.92,17.86
2014/12,(주)SNT홀딩스,36530,-22.75,30.84,1999.0,50.39,4.22,47.42,31.29,0.83,0.55,47.73,31.49
2015/12,(주)SNT홀딩스,36530,146.6,10.19,2141.0,41.85,10.02,17.69,10.55,1.18,0.7,61.71,36.79
2016/12,(주)SNT홀딩스,36530,-55.25,-91.61,174.0,44.37,4.7,70.43,32.7,1.16,0.54,640.17,297.22
2017/12,(주)SNT홀딩스,36530,-16.11,146.91,430.0,41.26,4.02,69.81,54.44,0.69,0.54,47.1,36.73
2018/12,(주)SNT홀딩스,36530,19.81,303.74,1701.0,40.62,5.18,41.82,28.32,0.62,0.42,38.86,26.31
2019/12,(주)SNT홀딩스,36530,73.82,127.87,4072.0,37.56,8.35,29.1,20.64,0.66,0.47,26.64,18.89
2020/12,(주)SNT홀딩스,36530,0.64,-40.18,2533.0,40.37,8.85,11.93,7.14,0.66,0.39,11.95,7.15
2021/12,(주)SNT홀딩스,36530,0.0,0.0,5329.0,33.27,8.94,23.61,14.19,0.93,0.56,23.29,14.01
2022/12,(주)SNT홀딩스,36530,15.23,-33.42,3556.0,40.86,8.88,18.68,11.4,0.83,0.51,18.52,11.3
2007/12,(주)STX,11810,0.0,0.0,2572.0,272.52,7.69,64.12,6.91,13.23,1.43,0.0,0.0
2008/12,(주)STX,11810,31.26,-82.53,423.0,475.73,5.18,133.91,20.52,3.39,0.52,0.0,0.0
2009/12,(주)STX,11810,0.0,0.0,-4312.0,554.07,-1.13,0.0,0.0,1.69,0.67,20.43,8.07
2010/12,(주)STX,11810,0.0,0.0,4651.0,275.44,2.21,196.52,84.34,1.93,0.83,28.67,12.3
2011/12,(주)STX,11810,162.45,1.24,4089.0,173.19,3.93,26.13,8.0,1.94,0.59,0.0,0.0
2012/12,(주)STX,11810,0.0,0.0,-8599.0,236.31,-6.67,0.0,0.0,0.94,0.41,6.51,2.82
2013/12,(주)STX,11810,0.0,0.0,-26644.0,0.0,-39.27,0.0,0.0,0.0,0.0,6.13,0.77
2014/12,(주)STX,11810,0.0,0.0,15611.0,1239.93,2.18,4.25,0.25,28.64,1.7,0.0,0.0
2015/12,(주)STX,11810,0.0,0.0,-1642.0,1651.71,-2.1,0.0,0.0,3.09,0.17,7.19,0.39
2016/12,(주)STX,11810,0.0,0.0,-14597.0,0.0,-1.99,0.0,0.0,0.0,0.0,4.4,1.09
2017/12,(주)STX,11810,0.0,0.0,20985.0,1374.49,2.44,11.28,0.79,89.15,6.26,40.4,2.84
2018/12,(주)STX,11810,-133.55,-97.28,471.0,765.34,-0.98,142.82,40.18,11.95,3.36,0.0,0.0
2019/12,(주)STX,11810,0.0,-460.27,-1664.0,895.02,0.12,0.0,0.0,7.88,2.79,30.55,10.84
2020/12,(주)STX,11810,0.0,0.0,-1032.0,655.62,-0.05,0.0,0.0,7.04,3.34,2.57,1.22
2021/12,(주)STX,11810,0.0,0.0,-696.0,451.82,0.98,0.0,0.0,6.68,1.51,0.0,0.0
2022/12,(주)STX,11810,0.0,0.0,-491.0,624.35,-0.16,0.0,0.0,5.85,2.05,0.0,0.0
2007/12,(주)TCC스틸,2710,0.0,0.0,423.0,108.4,2.78,80.81,40.53,0.6,0.3,0.0,0.0
2008/12,(주)TCC스틸,2710,530.78,-37.73,249.0,115.15,11.96,127.12,40.23,0.55,0.17,1.57,0.5
2009/12,(주)TCC스틸,2710,-71.18,1926.8,935.0,84.58,4.15,26.44,4.87,2.11,0.39,8.44,1.55
2010/12,(주)TCC스틸,2710,30.19,15.29,974.0,84.12,4.26,6.65,4.23,0.46,0.29,0.0,0.0
2011/12,(주)TCC스틸,2710,-41.84,-67.08,312.0,101.53,2.22,19.99,9.84,0.69,0.34,0.0,0.0
2012/12,(주)TCC스틸,2710,-48.05,-96.47,0.0,142.04,1.18,23.68,17.1,0.49,0.35,9.16,6.61
2013/12,(주)TCC스틸,2710,0.0,0.0,0.0,164.27,-1.55,214.56,149.32,0.41,0.28,3.96,2.76
2014/12,(주)TCC스틸,2710,0.0,0.0,0.0,191.48,0.07,73.48,47.94,0.37,0.24,5.42,3.53
2015/12,(주)TCC스틸,2710,4502.76,0.0,0.0,337.6,3.2,0.0,0.0,0.98,0.49,2.0,0.99
2016/12,(주)TCC스틸,2710,-3.18,0.0,807.0,173.78,3.45,4.91,2.67,0.85,0.46,0.0,0.0
2017/12,(주)TCC스틸,2710,-47.19,-90.98,0.0,176.16,2.07,0.0,0.0,0.71,0.47,0.0,0.0
2018/12,(주)TCC스틸,2710,110.7,537.96,0.0,171.53,4.13,7.99,4.81,0.64,0.39,4.33,2.61
2019/12,(주)TCC스틸,2710,-24.73,-48.34,237.0,168.92,2.94,34.42,21.21,0.73,0.45,0.0,0.0
2020/12,(주)TCC스틸,2710,-92.45,0.0,-68.0,153.25,0.22,0.0,0.0,1.51,0.25,0.0,0.0
2021/12,(주)TCC스틸,2710,2536.42,0.0,1242.0,136.42,4.77,8.64,2.92,2.08,0.7,38.63,13.06
2022/12,(주)TCC스틸,2710,71.82,1.86,1239.0,143.04,6.43,16.12,8.29,2.24,1.15,0.0,0.0
2007/12,(주)강원랜드,35250,0.0,0.0,1383.0,28.85,39.21,20.61,11.84,4.2,2.41,13.92,8.0
2008/12,(주)강원랜드,35250,12.58,5.63,1472.0,27.28,40.96,17.33,6.3,3.61,1.31,14.11,5.13
2009/12,(주)강원랜드,35250,0.0,0.0,1902.0,26.31,38.42,9.87,5.98,2.27,1.37,7.83,4.74
2010/12,(주)강원랜드,35250,19.84,9.28,2088.0,24.29,42.29,15.46,7.44,3.52,1.69,13.67,6.57
2011/12,(주)강원랜드,35250,-12.08,-10.57,1875.0,20.11,38.6,17.32,12.62,3.25,2.37,15.89,11.57
2012/12,(주)강원랜드,35250,-17.13,-19.66,1509.0,22.54,31.24,23.02,16.09,3.06,2.14,14.89,10.41
2013/12,(주)강원랜드,35250,-4.16,-2.82,1468.0,23.21,28.51,27.0,18.79,3.33,2.32,18.32,12.75
2014/12,(주)강원랜드,35250,32.25,20.75,1772.0,24.76,34.29,21.64,16.41,3.09,2.35,15.24,11.55
2015/12,(주)강원랜드,35250,16.02,22.9,2178.0,23.12,36.44,22.81,14.81,3.51,2.28,16.88,10.96
2016/12,(주)강원랜드,35250,3.9,2.93,2242.0,22.33,36.46,20.97,16.62,3.13,2.48,15.88,12.59
2017/12,(주)강원랜드,35250,-14.18,-3.73,2159.0,19.55,33.09,19.36,15.86,2.56,2.1,18.16,14.88
2018/12,(주)강원랜드,35250,-18.87,-32.06,1467.0,17.97,29.95,24.65,18.2,2.15,1.59,20.02,14.79
2019/12,(주)강원랜드,35250,16.36,12.56,1651.0,19.38,32.97,22.02,17.63,2.09,1.67,18.07,14.46
2020/12,(주)강원랜드,35250,0.0,0.0,-1361.0,12.15,-90.18,0.0,0.0,1.96,1.06,0.0,0.0
2021/12,(주)강원랜드,35250,0.0,0.0,-52.0,17.66,-6.68,0.0,0.0,1.95,1.43,29.49,21.53
2022/12,(주)강원랜드,35250,0.0,0.0,570.0,22.03,17.12,52.89,41.72,1.84,1.45,14.6,11.52
2007/12,(주)갤럭시아에스엠,11420,0.0,0.0,226.0,434.08,14.02,41.99,25.55,0.0,0.0,10617.96,6461.14
2008/12,(주)갤럭시아에스엠,11420,1.82,0.0,-186.0,180.38,12.1,0.0,0.0,41.51,7.41,33.05,5.9
2009/12,(주)갤럭시아에스엠,11420,-66.94,0.0,101.0,103.49,4.55,38.53,15.93,5.64,2.33,0.0,0.0
2010/12,(주)갤럭시아에스엠,11420,0.0,0.0,44.0,63.57,1.08,81.39,25.61,8.6,2.71,0.0,0.0
2011/12,(주)갤럭시아에스엠,11420,0.0,0.0,157.0,78.49,10.91,21.94,9.15,5.08,2.12,16.63,6.94
2012/12,(주)갤럭시아에스엠,11420,0.0,0.0,19.0,69.76,3.77,267.41,127.13,3.12,1.48,23.05,10.96
2013/12,(주)갤럭시아에스엠,11420,-63.98,0.0,-83.0,75.11,1.61,0.0,0.0,2.44,1.58,0.0,0.0
2014/12,(주)갤럭시아에스엠,11420,0.0,0.0,-13.0,95.1,-0.96,0.0,0.0,3.78,1.6,0.0,0.0
2015/12,(주)갤럭시아에스엠,11420,0.0,0.0,85.0,38.09,3.36,41.12,13.89,2.23,0.75,35.22,11.9
2016/12,(주)갤럭시아에스엠,11420,-276.76,-183.84,-57.0,30.32,-7.06,0.0,0.0,2.34,1.03,0.0,0.0
2017/12,(주)갤럭시아에스엠,11420,0.0,0.0,-214.0,23.06,-9.51,0.0,0.0,2.63,1.43,0.0,0.0
2018/12,(주)갤럭시아에스엠,11420,0.0,0.0,-581.0,25.62,-46.86,0.0,0.0,3.72,1.31,0.0,0.0
2019/12,(주)갤럭시아에스엠,11420,0.0,0.0,-50.0,29.56,-1.59,0.0,0.0,4.85,1.92,120.21,47.75
2020/12,(주)갤럭시아에스엠,11420,0.0,0.0,36.0,37.82,7.04,63.84,19.4,3.24,0.98,21.89,6.65
2021/12,(주)갤럭시아에스엠,11420,151.06,274.19,134.0,23.75,11.95,28.25,10.44,3.28,1.21,64.52,23.84
2022/12,(주)갤럭시아에스엠,11420,20.92,25.3,167.0,73.59,13.87,18.57,8.81,2.68,1.27,98.29,46.62
2007/12,(주)경농,2100,0.0,0.0,858.0,44.28,15.32,10.97,5.39,1.37,0.68,7.13,3.5
2008/12,(주)경농,2100,-30.43,-22.93,663.0,45.75,9.77,13.03,3.66,1.12,0.31,7.66,2.15
2009/12,(주)경농,2100,22.16,45.02,970.0,35.14,11.21,6.27,3.88,0.73,0.45,0.0,0.0
2010/12,(주)경농,2100,0.0,0.0,503.0,34.11,9.59,11.62,7.77,0.78,0.52,4.5,3.01
2011/12,(주)경농,2100,0.0,0.0,29.0,21.53,6.33,29.5,18.43,0.66,0.41,6.52,4.07
2012/12,(주)경농,2100,0.0,0.0,632.0,77.55,9.29,11.95,9.27,0.53,0.41,6.54,5.08
2013/12,(주)경농,2100,47.54,23.73,782.0,56.89,9.57,6.62,4.92,0.58,0.43,5.56,4.13
2014/12,(주)경농,2100,-21.99,-44.35,435.0,68.5,7.77,15.35,8.18,0.88,0.47,10.0,5.33
2015/12,(주)경농,2100,-17.35,-10.12,380.0,81.11,6.17,20.83,15.54,0.82,0.61,0.0,0.0
2016/12,(주)경농,2100,-24.3,-3.58,365.0,74.44,4.49,30.33,17.85,1.04,0.61,20.16,11.87
2017/12,(주)경농,2100,-7.86,55.69,568.0,74.8,4.09,12.76,10.23,0.85,0.68,10.23,8.2
2018/12,(주)경농,2100,74.84,-45.49,310.0,77.34,6.95,36.55,12.7,1.97,0.68,75.99,26.41
2019/12,(주)경농,2100,-41.16,-18.01,254.0,83.71,3.82,74.8,30.72,2.89,1.19,120.26,49.39
2020/12,(주)경농,2100,64.34,177.87,706.0,75.77,5.75,41.06,11.95,2.27,0.66,50.32,14.64
2021/12,(주)경농,2100,17.34,26.02,890.0,64.18,6.2,15.53,8.43,1.86,1.01,17.94,9.73
2022/12,(주)경농,2100,144.5,68.9,1503.0,72.23,11.33,15.87,8.92,1.38,0.77,11.19,6.29
2007/12,(주)경동나비엔,9450,0.0,0.0,3399.0,39.33,0.84,8.65,6.16,0.53,0.38,0.0,0.0
2008/12,(주)경동나비엔,9450,250.76,0.92,3370.0,38.65,2.54,10.54,4.35,0.59,0.24,56.6,23.35
2009/12,(주)경동나비엔,9450,27.95,-52.01,1610.0,44.16,2.75,32.23,10.29,0.87,0.28,5.64,1.8
2010/12,(주)경동나비엔,9450,59.8,110.6,663.0,48.71,3.62,15.86,10.78,0.72,0.49,5.3,3.61
2011/12,(주)경동나비엔,9450,11.68,20.56,749.0,56.57,3.64,45.86,5.89,3.2,0.41,34.95,4.49
2012/12,(주)경동나비엔,9450,12.11,-2.36,729.0,70.42,3.67,18.25,7.47,1.17,0.48,7.46,3.05
2013/12,(주)경동나비엔,9450,42.08,20.9,880.0,89.44,4.78,28.92,14.46,1.75,0.87,13.24,6.62
2014/12,(주)경동나비엔,9450,-31.94,-17.41,727.0,111.38,3.14,45.87,23.71,2.62,1.35,0.0,0.0
2015/12,(주)경동나비엔,9450,79.9,80.96,1316.0,95.11,4.73,27.79,14.37,3.04,1.57,14.7,7.6
2016/12,(주)경동나비엔,9450,89.21,122.2,2925.0,79.99,7.86,28.92,11.77,4.13,1.68,15.17,6.17
2017/12,(주)경동나비엔,9450,4.2,-28.44,2093.0,96.37,6.98,43.09,23.81,3.32,1.83,52.17,28.83
2018/12,(주)경동나비엔,9450,-14.56,-6.3,1961.0,108.35,5.61,40.92,19.43,4.09,1.94,0.0,0.0
2019/12,(주)경동나비엔,9450,9.86,12.51,2207.0,102.57,5.79,38.7,20.22,3.27,1.71,20.77,10.85
2020/12,(주)경동나비엔,9450,49.69,49.48,3261.0,111.02,7.68,41.68,17.57,2.95,1.24,14.47,6.1
2021/12,(주)경동나비엔,9450,-4.18,93.71,5898.0,107.34,5.83,17.21,10.21,3.13,1.86,15.76,9.35
2022/12,(주)경동나비엔,9450,-7.04,-33.57,3707.0,96.64,5.15,21.77,11.0,2.47,1.25,33.38,16.87
2017/12,(주)경동도시가스,267290,,,,,,,,,,,
2018/12,(주)경동도시가스,267290,96.9,91.84,7235.0,142.84,2.66,7.32,4.46,0.82,0.5,2.07,1.26
2019/12,(주)경동도시가스,267290,-34.23,-28.03,4167.0,120.84,1.97,9.59,4.91,0.72,0.37,6.95,3.56
2020/12,(주)경동도시가스,267290,-35.36,-22.62,3224.0,96.16,1.67,7.1,3.78,0.39,0.21,0.0,0.0
2021/12,(주)경동도시가스,267290,0.0,0.0,3756.0,140.93,1.86,7.4,4.7,0.46,0.29,1.19,0.75
2022/12,(주)경동도시가스,267290,-6.86,9.31,4105.0,170.29,1.1,9.42,4.96,0.58,0.31,4.24,2.23
2007/12,(주)경동인베스트,12320,0.0,0.0,6859.0,98.47,3.53,12.25,4.9,1.29,0.52,6.96,2.78
2008/12,(주)경동인베스트,12320,70.86,28.03,8782.0,104.99,4.11,7.17,3.64,0.88,0.45,2.84,1.44
2009/12,(주)경동인베스트,12320,-43.07,-13.13,7629.0,126.83,2.26,7.26,5.05,0.7,0.48,3.24,2.25
